Sample_Name,Sample_Well,Sample_Plate,Sample_Group,Pool_ID,Sentrix_ID,Sentrix_Position 
ALL-NOPH_03-070_150ng_A.v1_3R01C02,,,,,3999337080,R01C02
ALL-NOPH_03-070_150ng_B.v1_3R02C02,,,,,3999337080,R02C02
ALL-NOPH_03-070_250ng_A.v1_3R03C02,,,,,3999337080,R03C02
ALL-NOPH_03-070_250ng_B.v1_3R04C02,,,,,3999337080,R04C02
ALL-NOPH_03-070_250ng_C.v1_3R05C02,,,,,3999337080,R05C02
ALL-NOPH_03-070_500ng.v1_3R06C02,,,,,3999337080,R06C02
ALL-NOPH_03-070_50ng.v1_3R06C01,,,,,3999337080,R06C01
ALL-NOPH_07-133_150ng_A.v1_2R02C01,,,,,3999337057,R02C01
ALL-NOPH_07-133_150ng_B.v1_2R03C01,,,,,3999337057,R03C01
ALL-NOPH_07-133_250ng_A.v1_2R04C01,,,,,3999337057,R04C01
ALL-NOPH_07-133_250ng_B.v1_2R05C01,,,,,3999337057,R05C01
ALL-NOPH_07-133_250ng_C.v1_2R06C01,,,,,3999337057,R06C01
ALL-NOPH_07-133_500ng.v1_2R01C02,,,,,3999337057,R01C02
ALL-NOPH_07-133_50ng.v1_2R01C01,,,,,3999337057,R01C01
CEP_C1.7_150ng_2R03C02,,,,,3999337057,R03C02
CEP_C1.7_250ng_2R04C02,,,,,3999337057,R04C02
CEP_C1.7_250ng_2R05C02,,,,,3999337057,R05C02
CEP_C1.7_500ng_2R06C02,,,,,3999337057,R06C02
CEP_C1.7_50ng_2R02C02,,,,,3999337057,R02C02
